train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features,warm_start
3.4204417187829916,3.4698809925149665,5.410510697926618,5.488412779467678,10,5,2,2,True
3.4204417187829916,3.4698809925149665,5.410510697926618,5.488412779467678,10,5,2,2,False
2.7532956567207547,2.850113343171793,4.341148346897325,4.648782999998563,10,5,2,4,True
2.7532956567207547,2.850113343171793,4.341148346897325,4.648782999998563,10,5,2,4,False
2.448779056560611,2.531170453254134,4.04552559106014,4.3827909201728446,10,5,2,6,True
2.448779056560611,2.531170453254134,4.04552559106014,4.3827909201728446,10,5,2,6,False
2.37098037217403,2.4528853322999224,3.9454030189654197,4.310832865466694,10,5,2,8,True
2.37098037217403,2.4528853322999224,3.9454030189654197,4.310832865466694,10,5,2,8,False
2.3474698336472994,2.4446590471715677,3.8921612207397596,4.298195801253555,10,5,2,10,True
2.3474698336472994,2.4446590471715677,3.8921612207397596,4.298195801253555,10,5,2,10,False
3.415161172555739,3.4687341897526585,5.4112470075559465,5.491110979447306,10,5,5,2,True
3.415161172555739,3.4687341897526585,5.4112470075559465,5.491110979447306,10,5,5,2,False
2.7532956567207547,2.850113343171793,4.341148346897325,4.648782999998563,10,5,5,4,True
2.7532956567207547,2.850113343171793,4.341148346897325,4.648782999998563,10,5,5,4,False
2.448779056560611,2.531170453254134,4.04552559106014,4.3827909201728446,10,5,5,6,True
2.448779056560611,2.531170453254134,4.04552559106014,4.3827909201728446,10,5,5,6,False
2.37098037217403,2.4528853322999224,3.9454030189654197,4.310832865466694,10,5,5,8,True
2.37098037217403,2.4528853322999224,3.9454030189654197,4.310832865466694,10,5,5,8,False
2.3474698336472994,2.4446590471715677,3.8921612207397596,4.298195801253555,10,5,5,10,True
2.3474698336472994,2.4446590471715677,3.8921612207397596,4.298195801253555,10,5,5,10,False
3.388335149611403,3.438166984764007,5.358452230876296,5.434858615594898,10,5,10,2,True
3.388335149611403,3.438166984764007,5.358452230876296,5.434858615594898,10,5,10,2,False
2.7532956567207547,2.850113343171793,4.341148346897325,4.648782999998563,10,5,10,4,True
2.7532956567207547,2.850113343171793,4.341148346897325,4.648782999998563,10,5,10,4,False
