train_mae,valid_mae,train_rmse,valid_rmse,n_estimators,max_depth,min_samples,max_features
2.24224215164857,2.2558857115936357,3.6713677300571237,3.6807909744160305,50,5,2,2
2.0370818002539854,2.0571546352966052,3.3624255456889505,3.4044544442397386,50,5,2,4
2.0300627567883103,2.0723832412420307,3.354432959990952,3.4289188106711563,50,5,2,6
2.237195453205514,2.251219564291692,3.6644691598278314,3.674305501171888,50,5,5,2
2.0370818002539854,2.0571546352966052,3.3624255456889505,3.4044544442397386,50,5,5,4
2.0300627567883103,2.0723832412420307,3.354432959990952,3.4289188106711563,50,5,5,6
2.2316888900898917,2.2453866050104883,3.6576200825085583,3.665594860587183,50,5,10,2
2.0374892768701103,2.057463709436517,3.363176168816749,3.4070255787402943,50,5,10,4
2.0300627567883103,2.0723832412420307,3.354432959990952,3.4289188106711563,50,5,10,6
1.4727060874719882,1.7032290108799593,2.4931362619631314,2.926812920265111,50,10,2,2
1.3862954530742329,1.6510343444629185,2.319334859844554,2.8919859640773744,50,10,2,4
1.379758577809832,1.6854006536544535,2.287096196987367,2.9476916073859063,50,10,2,6
1.466721767146547,1.6896829355731022,2.493466080005614,2.91652356561268,50,10,5,2
1.391370517749266,1.660864406629749,2.3424291030752737,2.9109719350611023,50,10,5,4
1.3933119900084276,1.6732206978347164,2.3225388864744523,2.9260088194477523,50,10,5,6
1.4950242145709884,1.7027683407967162,2.5504944012079886,2.9344977078673615,50,10,10,2
1.4237852348014413,1.6726664172415167,2.4111301174382773,2.9315584927232363,50,10,10,4
1.4200236290190127,1.6838063524981899,2.3866174583120547,2.946089952452435,50,10,10,6
0.9150649207164471,1.5674483307723832,1.513249831781787,2.747811604272224,50,15,2,2
0.8657936343780599,1.5764981319442877,1.4057877280171331,2.7974042197885716,50,15,2,4
0.8657797751759578,1.600255093843197,1.3934811133446163,2.8446629505690715,50,15,2,6
0.9963781112646299,1.5826232953236452,1.7005754424779305,2.782462596716634,50,15,5,2
0.9266251090542125,1.565044546333443,1.5611377410439042,2.7737514796142873,50,15,5,4
0.9269168514578768,1.602161725389288,1.5529654317027113,2.846274817512951,50,15,5,6
1.1188497162513795,1.5939899810386733,1.9295847997868139,2.794116172148733,50,15,10,2
1.0484672107535007,1.5859570448762756,1.8026989735226622,2.817865227948141,50,15,10,4
1.0445999198297218,1.6135514369817772,1.7880837025571379,2.8399901572160586,50,15,10,6
0.6544578403417355,1.5454900574283341,1.1425597893640131,2.7310620335714013,50,20,2,2
0.643300188664772,1.5761842054863913,1.1259650171546107,2.7907243135673663,50,20,2,4
0.6591160602756772,1.5947016971151808,1.147020848937841,2.846478946766163,50,20,2,6
0.8012200069405342,1.5568681404750802,1.4365977325098618,2.7515740271849225,50,20,5,2
0.7498120822791399,1.5630778370526008,1.354291185989921,2.7937999400159423,50,20,5,4
0.7466481346393656,1.5985690324860624,1.3478580098780615,2.8489124978114004,50,20,5,6
0.9992415025697364,1.5769478009181142,1.7774258306799984,2.7842320135956893,50,20,10,2
0.9359040512027232,1.582557417030541,1.6770257084529088,2.819042835700853,50,20,10,4
0.9217147356703811,1.5992798713534038,1.6581170610062583,2.8510990335111597,50,20,10,6
2.2277337540911026,2.245650203225972,3.6566551123332736,3.6674587038603197,100,5,2,2
2.033119306364426,2.0561308729749137,3.3644374260739083,3.414160758572401,100,5,2,4
2.025769877403619,2.0644586743873496,3.351688708431229,3.423256635161893,100,5,2,6
2.225209283040865,2.2437616183547466,3.6535561014212674,3.6654365325630565,100,5,5,2
2.033119306364426,2.0561308729749137,3.3644374260739083,3.414160758572401,100,5,5,4
2.025769877403619,2.0644586743873496,3.351688708431229,3.423256635161893,100,5,5,6
2.217563218176622,2.2364484235770883,3.6431899038799354,3.6552717665246655,100,5,10,2
